Medicamento,Comercializado,Especie de destino
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",NO,Perros
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",NO,Gatos
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,SI,Perros
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,SI,Gatos
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,SI,Gatos
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,NO,Perros
ONSIOR 6 mg COMPRIMIDOS PARA GATOS,NO,Gatos
FRONTLINE COMBO SPOT-ON GATO,SI,Gatos
FRONTLINE COMBO SPOT-ON GATO,SI,Gatos
FRONTLINE COMBO SPOT-ON GATO,SI,Gatos
FRONTLINE COMBO SPOT-ON PERRO 20-40 kg,SI,Perros
FRONTLINE COMBO SPOT-ON PERRO 20-40 kg,SI,Perros
FRONTLINE COMBO SPOT-ON PERRO 20-40 kg,SI,Perros
FRONTLINE SPRAY,SI,Perros
FRONTLINE SPRAY,SI,Perros
FRONTLINE SPRAY,SI,Perros
NICILAN 400 mg/100 mg COMPRIMIDOS PARA PERROS,SI,Perros
NICILAN 400 mg/100 mg COMPRIMIDOS PARA PERROS,NO,Perros
NICILAN 400 mg/100 mg COMPRIMIDOS PARA PERROS,SI,Perros
NICILAN 400 mg/100 mg COMPRIMIDOS PARA PERROS,NO,Perros
NICILAN 200 mg/50 mg COMPRIMIDOS PARA PERROS,SI,Perros
NICILAN 200 mg/50 mg COMPRIMIDOS PARA PERROS,NO,Perros
NICILAN 200 mg/50 mg COMPRIMIDOS PARA PERROS,SI,Perros
NICILAN 200 mg/50 mg COMPRIMIDOS PARA PERROS,NO,Perros
GENTACALIER,NO,Perros
GENTASOL SOLUCION INYECTABLE,NO,Gatos
GENTASOL SOLUCION INYECTABLE,SI,Perros
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,SI,Perros
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,SI,Perros
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,SI,Gatos
ONSIOR 6 mg COMPRIMIDOS PARA GATOS,SI,Gatos
ONSIOR 6 mg COMPRIMIDOS PARA GATOS,SI,Gatos
ISOVET 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,NO,Gatos
ISOVET 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,SI,Gatos
LACTATO DE RINGER BRAUN USO VETERINARIO,SI,Perros
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,NO,Gatos
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,NO,Gatos
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,NO,Gatos
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,SI,Perros
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,NO,Perros
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,NO,Gatos
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,NO,Perros
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,NO,Perros
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,NO,Gatos
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,NO,Gatos
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Gatos
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Perros
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Gatos
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Perros
"GLUCOSALINO ISOTONICO 3,6% BRAUN USO VETERINARIO",NO,Perros
"GLUCOSALINO ISOTONICO 3,6% BRAUN USO VETERINARIO",SI,Gatos
"GLUCOSALINO ISOTONICO 3,6% BRAUN USO VETERINARIO",SI,Perros
MEDETOR 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
MEDETOR 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
GLUCOSALINO 5% BRAUN USO VETERINARIO,NO,Perros
GLUCOSALINO 5% BRAUN USO VETERINARIO,NO,Perros
GLUCOSALINO 5% BRAUN USO VETERINARIO,NO,Perros
GLUCOSALINO 5% BRAUN USO VETERINARIO,SI,Gatos
GLUCOSALINO 5% BRAUN USO VETERINARIO,SI,Perros
GLUCOSALINO 5% BRAUN USO VETERINARIO,SI,Perros
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,SI,Perros
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",NO,Perros
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",SI,Gatos
ONSIOR 10 mg COMPRIMIDOS PARA PERROS,NO,Perros
"IMAVEROL 100 mg/ml CONCENTRADO PARA EMULSION CUTANEA PARA BOVINO, EQUINO Y PERROS # IMAVEROL",NO,Perros
IMIZOL,SI,Perros
IMIZOL,NO,Perros
IMIZOL,NO,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,SI,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,SI,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,SI,Gatos
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,SI,Gatos
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,SI,Perros
ISOFLO 100% p/p LIQUIDO PARA INHALACION DEL VAPOR # ISOFLO,NO,Perros
ISOFLO 100% p/p LIQUIDO PARA INHALACION DEL VAPOR # ISOFLO,SI,Perros
LACTATO DE RINGER BRAUN USO VETERINARIO,NO,Gatos
LACTATO DE RINGER BRAUN USO VETERINARIO,NO,Gatos
LINALTEN,NO,Gatos
LACTATO DE RINGER BRAUN USO VETERINARIO,NO,Perros
LACTATO DE RINGER BRAUN USO VETERINARIO,NO,Gatos
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Gatos
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,SI,Perros
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,SI,Gatos
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,SI,Gatos
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,SI,Perros
DIUREMICIN # FARCO DIURETICO,SI,Gatos
CLAVUBAY 50 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Gatos
CLAVUBAY 50 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
CLAVUBAY 50 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
CLAVUBAY 50 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Gatos
CLAVUBAY 50 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Gatos
LINALTEN,SI,Gatos
SEVOFLO 100% LIQUIDO PARA INHALACION DEL VAPOR PARA PERROS,SI,Perros
"DAXICIN 1,25 mg/ml SUSPENSION INYECTABLE # DEXA 21",SI,Perros
ONSIOR 10 mg COMPRIMIDOS PARA PERROS,NO,Perros
MARBOCYL P 20 mg,SI,Perros
MARBOCYL P 20 mg,SI,Perros
MARBOCYL P 20 mg,NO,Perros
MARBOCYL P 20 mg,NO,Perros
MARBOCYL P 20 mg,NO,Perros
MARBOCYL P 20 mg,NO,Perros
MARBOCYL P 5 mg,SI,Perros
MARBOCYL P 5 mg,SI,Perros
MARBOCYL P 5 mg,NO,Perros
MARBOCYL P 5 mg,NO,Perros
MARBOCYL P 5 mg,NO,Gatos
MARBOCYL P 5 mg,NO,Gatos
ONSIOR 10 mg COMPRIMIDOS PARA PERROS,SI,Perros
MAXIVAC PARVO,SI,Perros
MAXIVAC PARVO,SI,Perros
"METACAM 1,5 mg/ml SUSPENSION ORAL PARA PERROS",SI,Perros
"METACAM 1,5 mg/ml SUSPENSION ORAL PARA PERROS",SI,Perros
"METACAM 1,5 mg/ml SUSPENSION ORAL PARA PERROS",SI,Perros
MODERIN 4 mg,SI,Perros
PUREVAX FELV SUSPENSION INYECTABLE,NO,Gatos
PUREVAX FELV SUSPENSION INYECTABLE,NO,Gatos
PUREVAX FELV SUSPENSION INYECTABLE,NO,Gatos
NEMICINA POLVO PARA SOLUCION ORAL 185000 U.I./g,SI,Perros
ONSIOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
ONSIOR 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
ONSIOR 40 mg COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 40 mg COMPRIMIDOS PARA PERROS,NO,Perros
ONSIOR 40 mg COMPRIMIDOS PARA PERROS,SI,Perros
ONSIOR 40 mg COMPRIMIDOS PARA PERROS,SI,Perros
ONSIOR 10 mg COMPRIMIDOS PARA PERROS,NO,Perros
DIACOL ANTIDIARREICO,SI,Perros
DIACOL ANTIDIARREICO,SI,Perros
DIACOL ANTIDIARREICO,SI,Perros
RONAXAN 100 mg COMPRIMIDOS # RONAXAN COMPRIMIDOS 100,SI,Perros
PEDERIPRA SPRAY 20 mg/ml SUSPENSION PARA PULVERIZACION CUTANEA,NO,Perros
PRILBEN VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS Y GATOS,SI,Gatos
PRILBEN VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS Y GATOS,SI,Perros
ONSIOR 20 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,SI,Perros
PROGRAM 70 mg/g SUSPENSION ORAL,NO,Gatos
PROGRAM 70 mg/g SUSPENSION ORAL,SI,Gatos
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,NO,Perros
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,NO,Perros
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,NO,Perros
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,NO,Perros
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,SI,Perros
QUENTAN 3 mg/ml SOLUCION INYECTABLE # QUENTAN SOLUCION INYECTABLE,SI,Gatos
QUENTAN 3 mg/ml SOLUCION INYECTABLE # QUENTAN SOLUCION INYECTABLE,SI,Perros
"STEROVET SOLUCION PARA PERFUSION PARA BOVINO, EQUINO, OVINO, CAPRINO, PERROS Y GATOS # STEROVET",SI,Perros
"STEROVET SOLUCION PARA PERFUSION PARA BOVINO, EQUINO, OVINO, CAPRINO, PERROS Y GATOS # STEROVET",SI,Perros
RETARDOESTEROIDE,NO,Perros
RIMADYL SOLUCION INYECTABLE PARA PERROS Y GATOS 50 mg/ml,SI,Gatos
ROMPUN,SI,Gatos
STOMORGYL 10 kg COMPRIMIDOS RECUBIERTOS # STOMORGYL 10 KGS,SI,Perros
STOMORGYL 2 kg COMPRIMIDOS RECUBIERTOS # STOMORGYL 2 KGS,SI,Gatos
"STRONGHOLD 15 mg SOLUCION PARA UNCION DORSAL PUNTUAL PARA GATOS Y PERROS MENOR 2,5 kg",SI,Perros
SUPER'S SPRAY CLORTETRACICLINA,SI,Perros
SYNULOX 50 MG COMPRIMIDOS APETITOSOS PARA PERROS Y GATOS # SYNULOX 50 COMPRIMIDOS APETITOSOS,SI,Gatos
SYNULOX 50 MG COMPRIMIDOS APETITOSOS PARA PERROS Y GATOS # SYNULOX 50 COMPRIMIDOS APETITOSOS,NO,Perros
SYNULOX 50 MG COMPRIMIDOS APETITOSOS PARA PERROS Y GATOS # SYNULOX 50 COMPRIMIDOS APETITOSOS,SI,Gatos
SYNULOX,SI,Perros
SYNULOX,SI,Gatos
SYNULOX,NO,Gatos
LEUCOFELIGEN FELV/RCP LIOFILIZADO Y DISOLVENTE PARA SOLUCION INYECTABLE PARA GATOS,SI,Gatos
LEUCOFELIGEN FELV/RCP LIOFILIZADO Y DISOLVENTE PARA SOLUCION INYECTABLE PARA GATOS,NO,Gatos
BANACEP VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS Y GATOS # BANACEP VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS,SI,Gatos
BANACEP VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS Y GATOS # BANACEP VET 5 mg COMPRIMIDO RECUBIERTO CON PELICULA PARA PERROS,SI,Perros
TELMIN UNIDIA SUSPENSION ORAL # TELMIN UNIDIA PERROS Y GATOS SUSPENSION ORAL,SI,Perros
TELMIN UNIDIA RAZAS PEQUEÑAS PERROS Y GATOS COMPRIMIDOS,SI,Gatos
TORPHASOL 4 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Gatos
TORPHASOL 4 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
TERRAMICINA SPRAY,SI,Perros
"TIOBARBITAL 0,5 g BRAUN USO VETERINARIO",NO,Perros
"TIOBARBITAL 0,5 g BRAUN USO VETERINARIO",SI,Gatos
TIOBARBITAL 1 g BRAUN USO VETERINARIO,NO,Gatos
TIOBARBITAL 1 g BRAUN USO VETERINARIO,SI,Gatos
TOLFEDINE 40 mg/ml SOLUCION INYECTABLE # TOLFEDINE 4%,NO,Perros
TOLFEDINE 6 mg,SI,Perros
LEUCOGEN SUSPENSIÓN INYECTABLE PARA GATOS,SI,Gatos
LEUCOGEN SUSPENSIÓN INYECTABLE PARA GATOS,NO,Gatos
VANGUARD CPV,NO,Perros
VANGUARD CPV,NO,Perros
VANGUARD CPV,SI,Perros
VANGUARD CPV,NO,Perros
VANGUARD DA2Pi+L liofilizado y disolvente para suspension inyectable para perros # VANGUARD DA2Pi+L,NO,Perros
VANGUARD DA2Pi+L liofilizado y disolvente para suspension inyectable para perros # VANGUARD DA2Pi+L,NO,Perros
